Date,No of Trans,Max,Min,Close,Volume
2015-07-02,15.0,408.0,403.0,405.0,4059.0
2015-07-05,11.0,419.0,408.0,417.0,1564.0
2015-07-06,5.0,417.0,403.0,404.0,330.0
2015-07-07,36.0,410.0,404.0,405.0,6448.0
2015-07-08,14.0,409.0,406.0,408.0,2073.0
2015-07-09,5.0,416.0,410.0,410.0,401.0
2015-07-12,18.0,412.0,405.0,411.0,5083.0
2015-07-13,3.0,410.0,409.0,409.0,1242.0
2015-07-14,14.0,414.0,406.0,410.0,3414.0
2015-07-15,15.0,418.0,408.0,415.0,2601.0
2015-07-16,5.0,432.0,416.0,432.0,391.0
2015-07-22,41.0,442.0,421.0,440.0,7356.0
2015-07-23,47.0,465.0,435.0,465.0,7731.0
2015-07-26,5.0,511.0,474.0,511.0,140.0
2015-07-27,37.0,521.0,476.0,498.0,8007.0
2015-07-28,7.0,489.0,480.0,480.0,682.0
2015-07-29,3.0,471.0,467.0,467.0,120.0
2015-07-30,23.0,465.0,450.0,450.0,3973.0
2015-08-02,9.0,449.0,445.0,446.0,558.0
2015-08-03,41.0,458.0,440.0,457.0,3667.0
2015-08-04,43.0,460.0,439.0,441.0,7651.0
2015-08-05,50.0,459.0,437.0,452.0,6625.0
2015-08-06,50.0,465.0,455.0,463.0,8242.0
2015-08-09,51.0,469.0,450.0,469.0,9306.0
2015-08-10,64.0,488.0,470.0,479.0,8260.0
2015-08-11,23.0,470.0,452.0,455.0,2244.0
2015-08-12,41.0,450.0,436.0,445.0,4305.0
2015-08-13,57.0,459.0,438.0,444.0,8463.0
2015-08-16,139.0,456.0,441.0,441.0,15570.0
2015-08-17,41.0,485.0,449.0,485.0,14033.0
2015-08-18,71.0,518.0,494.0,518.0,17564.0
2015-08-19,27.0,528.0,510.0,528.0,4816.0
2015-08-20,18.0,548.0,525.0,525.0,5070.0
2015-08-23,11.0,516.0,505.0,506.0,8354.0
2015-08-24,13.0,509.0,505.0,506.0,2386.0
2015-08-25,17.0,515.0,496.0,515.0,3076.0
2015-08-26,3.0,506.0,505.0,505.0,1300.0
2015-08-27,7.0,505.0,500.0,500.0,1382.0
2015-08-31,7.0,503.0,496.0,500.0,3126.0
2015-09-01,8.0,500.0,493.0,495.0,6425.0
2015-09-02,2.0,486.0,486.0,486.0,1000.0
2015-09-03,4.0,478.0,465.0,465.0,760.0
2015-09-06,8.0,485.0,474.0,480.0,1710.0
2015-09-07,11.0,497.0,475.0,497.0,2252.0
2015-09-08,5.0,496.0,488.0,488.0,651.0
2015-09-09,1.0,480.0,480.0,480.0,41.0
2015-09-10,10.0,489.0,472.0,479.0,7097.0
2015-09-13,9.0,500.0,480.0,500.0,9190.0
2015-09-14,19.0,511.0,492.0,500.0,4489.0
2015-09-15,8.0,505.0,486.0,495.0,1356.0
2015-09-16,5.0,490.0,486.0,487.0,1186.0
2015-09-17,19.0,488.0,475.0,480.0,5292.0
2015-09-22,16.0,471.0,456.0,456.0,9991.0
2015-09-23,20.0,474.0,460.0,465.0,9252.0
2015-09-24,5.0,461.0,456.0,460.0,956.0
2015-09-28,9.0,454.0,446.0,450.0,1581.0
2015-09-29,3.0,459.0,450.0,450.0,2289.0
2015-09-30,20.0,468.0,442.0,450.0,4851.0
2015-10-01,14.0,460.0,444.0,459.0,5128.0
2015-10-04,7.0,455.0,443.0,451.0,2200.0
2015-10-05,15.0,460.0,442.0,445.0,2871.0
2015-10-06,20.0,445.0,435.0,440.0,5822.0
2015-10-07,5.0,450.0,440.0,450.0,511.0
2015-10-08,44.0,495.0,443.0,495.0,15581.0
2015-10-11,272.0,544.0,504.0,530.0,93601.0
2015-10-14,37.0,540.0,493.0,494.0,9865.0
2015-10-15,27.0,499.0,476.0,499.0,6688.0
2015-10-18,15.0,495.0,487.0,495.0,8306.0
2015-10-19,11.0,500.0,489.0,500.0,2033.0
2015-10-25,13.0,490.0,480.0,481.0,2481.0
2015-10-27,10.0,472.0,465.0,472.0,3737.0
2015-10-28,16.0,472.0,455.0,466.0,2955.0
2015-10-29,9.0,475.0,466.0,470.0,1970.0
2015-11-01,15.0,469.0,450.0,456.0,4509.0
2015-11-02,15.0,470.0,450.0,461.0,3088.0
2015-11-03,3.0,457.0,455.0,457.0,81.0
2015-11-04,6.0,470.0,449.0,466.0,1462.0
2015-11-05,6.0,463.0,460.0,460.0,878.0
2015-11-08,7.0,462.0,451.0,462.0,607.0
2015-11-09,16.0,483.0,469.0,483.0,4949.0
2015-11-10,12.0,485.0,474.0,477.0,8443.0
2015-11-15,6.0,475.0,470.0,475.0,1170.0
2015-11-16,2.0,471.0,467.0,471.0,250.0
2015-11-18,5.0,475.0,467.0,470.0,1230.0
2015-11-19,9.0,475.0,460.0,465.0,1940.0
2015-11-22,17.0,460.0,451.0,452.0,2625.0
2015-11-23,13.0,452.0,449.0,452.0,4235.0
2015-11-24,14.0,461.0,451.0,455.0,1170.0
2015-11-25,28.0,461.0,448.0,450.0,6331.0
2015-11-26,21.0,450.0,435.0,447.0,2656.0
2015-11-30,24.0,450.0,424.0,431.0,4935.0
2015-12-01,21.0,454.0,439.0,454.0,5943.0
2015-12-02,13.0,451.0,445.0,451.0,3272.0
2015-12-03,9.0,459.0,450.0,450.0,3472.0
2015-12-06,13.0,468.0,459.0,465.0,2902.0
2015-12-07,12.0,456.0,454.0,455.0,860.0
2015-12-08,13.0,455.0,447.0,451.0,2091.0
2015-12-09,10.0,469.0,460.0,469.0,1612.0
2015-12-10,9.0,469.0,450.0,465.0,934.0
2015-12-13,10.0,465.0,456.0,456.0,1652.0
2015-12-14,12.0,453.0,450.0,450.0,2818.0
2015-12-15,11.0,446.0,440.0,445.0,3918.0
2015-12-16,14.0,453.0,448.0,450.0,7554.0
2015-12-17,10.0,468.0,451.0,465.0,1388.0
2015-12-20,42.0,483.0,462.0,481.0,16618.0
2015-12-21,179.0,529.0,481.0,529.0,47347.0
2015-12-22,96.0,559.0,510.0,512.0,21836.0
2015-12-23,26.0,510.0,496.0,496.0,6162.0
2015-12-24,45.0,510.0,490.0,510.0,11469.0
2015-12-27,31.0,505.0,499.0,502.0,12349.0
2015-12-28,16.0,504.0,497.0,499.0,2290.0
2015-12-29,31.0,508.0,496.0,500.0,7138.0
2015-12-31,29.0,513.0,500.0,508.0,5772.0
2016-01-03,24.0,518.0,499.0,518.0,8407.0
2016-01-04,37.0,528.0,502.0,506.0,6760.0
2016-01-05,20.0,515.0,500.0,505.0,4135.0
2016-01-06,21.0,507.0,495.0,500.0,4686.0
2016-01-07,32.0,520.0,505.0,515.0,7371.0
2016-01-10,23.0,520.0,506.0,518.0,5622.0
2016-01-11,42.0,529.0,511.0,525.0,11440.0
2016-01-12,25.0,526.0,521.0,521.0,4907.0
2016-01-13,19.0,531.0,517.0,529.0,2677.0
2016-01-14,56.0,545.0,524.0,545.0,22823.0
2016-01-17,130.0,591.0,541.0,575.0,69927.0
2016-01-18,103.0,608.0,561.0,580.0,19463.0
2016-01-19,54.0,576.0,547.0,568.0,15212.0
2016-01-20,136.0,615.0,579.0,593.0,53666.0
2016-01-21,101.0,600.0,577.0,583.0,23814.0
2016-01-24,85.0,599.0,589.0,599.0,34629.0
2016-01-25,34.0,615.0,594.0,595.0,7231.0
2016-01-26,49.0,601.0,593.0,595.0,16386.0
2016-01-27,24.0,590.0,580.0,585.0,4958.0
2016-01-28,29.0,585.0,576.0,582.0,6324.0
2016-01-31,21.0,590.0,571.0,574.0,5068.0
2016-02-01,47.0,588.0,572.0,584.0,12969.0
2016-02-02,33.0,595.0,580.0,580.0,7156.0
2016-02-03,26.0,580.0,572.0,574.0,4671.0
2016-02-04,49.0,589.0,573.0,589.0,11203.0
2016-02-07,51.0,604.0,585.0,595.0,12440.0
2016-02-08,43.0,594.0,584.0,590.0,10270.0
2016-02-11,21.0,590.0,580.0,580.0,4680.0
2016-02-14,46.0,579.0,561.0,570.0,7802.0
2016-02-15,37.0,590.0,555.0,590.0,10726.0
2016-02-16,19.0,600.0,571.0,576.0,4767.0
2016-02-17,68.0,590.0,560.0,590.0,14601.0
2016-02-18,57.0,596.0,588.0,588.0,20751.0
2016-02-21,54.0,598.0,585.0,590.0,21553.0
2016-02-22,35.0,595.0,585.0,590.0,6229.0
2016-02-23,71.0,609.0,585.0,605.0,16364.0
2016-02-24,21.0,603.0,590.0,595.0,4249.0
2016-02-25,33.0,605.0,581.0,585.0,5816.0
2016-02-28,35.0,595.0,587.0,590.0,10168.0
2016-02-29,22.0,590.0,586.0,589.0,4735.0
2016-03-01,26.0,590.0,583.0,585.0,4675.0
2016-03-02,34.0,609.0,580.0,599.0,3609.0
2016-03-03,122.0,620.0,590.0,617.0,31519.0
2016-03-06,92.0,635.0,610.0,630.0,22567.0
2016-03-10,189.0,693.0,640.0,693.0,69293.0
2016-03-13,444.0,734.0,700.0,707.0,133833.0
2016-03-14,143.0,715.0,665.0,672.0,31398.0
2016-03-15,76.0,674.0,655.0,665.0,14526.0
2016-03-16,48.0,679.0,655.0,674.0,9375.0
2016-03-17,72.0,672.0,665.0,665.0,14604.0
2016-03-20,68.0,671.0,656.0,660.0,16552.0
2016-03-21,102.0,666.0,648.0,648.0,24495.0
2016-03-23,46.0,664.0,648.0,653.0,8568.0
2016-03-24,64.0,678.0,651.0,655.0,11367.0
2016-03-27,107.0,673.0,650.0,673.0,25338.0
2016-03-28,64.0,685.0,658.0,671.0,16225.0
2016-03-29,44.0,673.0,657.0,669.0,7922.0
2016-03-30,53.0,680.0,661.0,665.0,8799.0
